"country_name","genres","n"
"Argentina","Action",137
"Argentina","Adventure",98
"Argentina","Animation",53
"Argentina","Biography",8
"Argentina","Comedy",170
"Argentina","Crime",134
"Argentina","Documentary",25
"Argentina","Drama",377
"Argentina","Family",14
"Argentina","Fantasy",19
"Argentina","History",6
"Argentina","Horror",35
"Argentina","Music",37
"Argentina","Musical",1
"Argentina","Mystery",59
"Argentina","Romance",100
"Argentina","Sci-Fi",11
"Argentina","Short",2
"Argentina","Sport",10
"Argentina","Thriller",77
"Argentina","War",3
"Argentina","Western",4
"Australia","Action",189
"Australia","Adventure",130
"Australia","Animation",50
"Australia","Biography",14
"Australia","Comedy",187
"Australia","Crime",144
"Australia","Documentary",47
"Australia","Drama",306
"Australia","Family",37
"Australia","Fantasy",46
"Australia","Game-Show",8
"Australia","History",9
"Australia","Horror",26
"Australia","Music",1
"Australia","Musical",2
"Australia","Mystery",46
"Australia","Reality-TV",24
"Australia","Romance",73
"Australia","Sci-Fi",46
"Australia","Short",6
"Australia","Sport",15
"Australia","Thriller",51
"Australia","War",9
"Australia","Western",5
"Austria","Action",205
"Austria","Adult",2
"Austria","Adventure",127
"Austria","Animation",35
"Austria","Biography",13
"Austria","Comedy",189
"Austria","Crime",161
"Austria","Documentary",34
"Austria","Drama",330
"Austria","Family",36
"Austria","Fantasy",54
"Austria","Game-Show",6
"Austria","History",6
"Austria","Horror",36
"Austria","Music",1
"Austria","Musical",1
"Austria","Mystery",58
"Austria","Reality-TV",10
"Austria","Romance",81
"Austria","Sci-Fi",27
"Austria","Short",4
"Austria","Sport",17
"Austria","Thriller",64
"Austria","War",4
"Austria","Western",6
"Bahamas","Action",183
"Bahamas","Adventure",101
"Bahamas","Animation",77
"Bahamas","Biography",8
"Bahamas","Comedy",181
"Bahamas","Crime",144
"Bahamas","Documentary",17
"Bahamas","Drama",312
"Bahamas","Family",42
"Bahamas","Fantasy",33
"Bahamas","Game-Show",5
"Bahamas","History",4
"Bahamas","Horror",37
"Bahamas","Music",5
"Bahamas","Musical",1
"Bahamas","Mystery",41
"Bahamas","Reality-TV",10
"Bahamas","Romance",74
"Bahamas","Sci-Fi",21
"Bahamas","Short",2
"Bahamas","Sport",8
"Bahamas","Thriller",89
"Bahamas","War",2
"Bahamas","Western",4
"Bahrain","Action",210
"Bahrain","Adventure",112
"Bahrain","Animation",34
"Bahrain","Biography",14
"Bahrain","Comedy",166
"Bahrain","Crime",134
"Bahrain","Documentary",24
"Bahrain","Drama",346
"Bahrain","Family",17
"Bahrain","Fantasy",38
"Bahrain","Game-Show",11
"Bahrain","History",7
"Bahrain","Horror",34
"Bahrain","Music",1
"Bahrain","Musical",1
"Bahrain","Mystery",49
"Bahrain","Reality-TV",14
"Bahrain","Romance",93
"Bahrain","Sci-Fi",21
"Bahrain","Short",4
"Bahrain","Sport",8
"Bahrain","Thriller",69
"Bahrain","War",5
"Bahrain","Western",7
"Bangladesh","Action",240
"Bangladesh","Adventure",88
"Bangladesh","Animation",36
"Bangladesh","Biography",3
"Bangladesh","Comedy",190
"Bangladesh","Crime",172
"Bangladesh","Documentary",18
"Bangladesh","Drama",373
"Bangladesh","Family",11
"Bangladesh","Fantasy",26
"Bangladesh","Game-Show",4
"Bangladesh","History",3
"Bangladesh","Horror",31
"Bangladesh","Music",2
"Bangladesh","Musical",5
"Bangladesh","Mystery",93
"Bangladesh","Reality-TV",2
"Bangladesh","Romance",90
"Bangladesh","Sci-Fi",40
"Bangladesh","Short",7
"Bangladesh","Sport",1
"Bangladesh","Thriller",70
"Bangladesh","War",2
"Bangladesh","Western",3
"Belgium","Action",202
"Belgium","Adventure",138
"Belgium","Animation",52
"Belgium","Biography",12
"Belgium","Comedy",185
"Belgium","Crime",136
"Belgium","Documentary",34
"Belgium","Drama",329
"Belgium","Family",14
"Belgium","Fantasy",50
"Belgium","Game-Show",5
"Belgium","History",3
"Belgium","Horror",32
"Belgium","Music",8
"Belgium","Mystery",48
"Belgium","Reality-TV",9
"Belgium","Romance",80
"Belgium","Sci-Fi",30
"Belgium","Short",4
"Belgium","Sport",11
"Belgium","Thriller",55
"Belgium","War",4
"Belgium","Western",6
"Bolivia","Action",162
"Bolivia","Adult",1
"Bolivia","Adventure",136
"Bolivia","Animation",94
"Bolivia","Biography",1
"Bolivia","Comedy",218
"Bolivia","Crime",87
"Bolivia","Documentary",15
"Bolivia","Drama",282
"Bolivia","Family",14
"Bolivia","Fantasy",22
"Bolivia","Horror",30
"Bolivia","Music",20
"Bolivia","Mystery",44
"Bolivia","Reality-TV",3
"Bolivia","Romance",107
"Bolivia","Sci-Fi",20
"Bolivia","Sport",5
"Bolivia","Thriller",52
"Bolivia","War",2
"Bolivia","Western",3
"Brazil","Action",163
"Brazil","Adult",1
"Brazil","Adventure",157
"Brazil","Animation",67
"Brazil","Biography",6
"Brazil","Comedy",206
"Brazil","Crime",115
"Brazil","Documentary",23
"Brazil","Drama",310
"Brazil","Family",104
"Brazil","Fantasy",25
"Brazil","Game-Show",4
"Brazil","History",4
"Brazil","Horror",32
"Brazil","Music",42
"Brazil","Musical",23
"Brazil","Mystery",42
"Brazil","Reality-TV",11
"Brazil","Romance",118
"Brazil","Sci-Fi",20
"Brazil","Short",2
"Brazil","Sport",6
"Brazil","Thriller",59
"Brazil","War",2
"Brazil","Western",4
"Bulgaria","Action",219
"Bulgaria","Adventure",127
"Bulgaria","Animation",48
"Bulgaria","Biography",9
"Bulgaria","Comedy",193
"Bulgaria","Crime",128
"Bulgaria","Documentary",36
"Bulgaria","Drama",325
"Bulgaria","Family",20
"Bulgaria","Fantasy",38
"Bulgaria","Game-Show",10
"Bulgaria","History",7
"Bulgaria","Horror",31
"Bulgaria","Music",2
"Bulgaria","Musical",3
"Bulgaria","Mystery",45
"Bulgaria","Reality-TV",14
"Bulgaria","Romance",95
"Bulgaria","Sci-Fi",38
"Bulgaria","Short",4
"Bulgaria","Sport",10
"Bulgaria","Thriller",54
"Bulgaria","War",3
"Bulgaria","Western",7
"Canada","Action",183
"Canada","Adventure",98
"Canada","Animation",49
"Canada","Biography",16
"Canada","Comedy",168
"Canada","Crime",155
"Canada","Documentary",39
"Canada","Drama",296
"Canada","Family",11
"Canada","Fantasy",28
"Canada","Game-Show",11
"Canada","History",7
"Canada","Horror",37
"Canada","Musical",3
"Canada","Mystery",55
"Canada","Reality-TV",26
"Canada","Romance",77
"Canada","Sci-Fi",33
"Canada","Short",4
"Canada","Sport",9
"Canada","Thriller",70
"Canada","War",5
"Canada","Western",5
"Chile","Action",131
"Chile","Adventure",115
"Chile","Animation",71
"Chile","Biography",4
"Chile","Comedy",199
"Chile","Crime",100
"Chile","Documentary",20
"Chile","Drama",343
"Chile","Family",16
"Chile","Fantasy",21
"Chile","History",5
"Chile","Horror",30
"Chile","Music",36
"Chile","Mystery",43
"Chile","Reality-TV",2
"Chile","Romance",123
"Chile","Sci-Fi",17
"Chile","Short",2
"Chile","Sport",7
"Chile","Thriller",56
"Chile","War",3
"Chile","Western",3
"Colombia","Action",145
"Colombia","Adventure",105
"Colombia","Animation",58
"Colombia","Biography",5
"Colombia","Comedy",197
"Colombia","Crime",108
"Colombia","Documentary",40
"Colombia","Drama",302
"Colombia","Family",18
"Colombia","Fantasy",25
"Colombia","History",4
"Colombia","Horror",30
"Colombia","Music",18
"Colombia","Musical",4
"Colombia","Mystery",45
"Colombia","Reality-TV",3
"Colombia","Romance",109
"Colombia","Sci-Fi",15
"Colombia","Short",2
"Colombia","Sport",6
"Colombia","Thriller",72
"Colombia","War",2
"Colombia","Western",4
"Costa Rica","Action",126
"Costa Rica","Adventure",95
"Costa Rica","Animation",57
"Costa Rica","Biography",6
"Costa Rica","Comedy",204
"Costa Rica","Crime",98
"Costa Rica","Documentary",24
"Costa Rica","Drama",334
"Costa Rica","Family",19
"Costa Rica","Fantasy",18
"Costa Rica","Game-Show",1
"Costa Rica","History",4
"Costa Rica","Horror",33
"Costa Rica","Music",33
"Costa Rica","Mystery",41
"Costa Rica","Reality-TV",4
"Costa Rica","Romance",131
"Costa Rica","Sci-Fi",15
"Costa Rica","Short",2
"Costa Rica","Sport",8
"Costa Rica","Thriller",68
"Costa Rica","War",2
"Costa Rica","Western",4
"Croatia","Action",176
"Croatia","Adventure",115
"Croatia","Animation",49
"Croatia","Biography",8
"Croatia","Comedy",206
"Croatia","Crime",142
"Croatia","Documentary",43
"Croatia","Drama",309
"Croatia","Family",21
"Croatia","Fantasy",25
"Croatia","Game-Show",10
"Croatia","History",2
