"id","n","label","parent"
"total",118822,NA,NA
"total  -  Action",18075,"Action","total"
"total  -  Adventure",10663,"Adventure","total"
"total  -  Animation",3867,"Animation","total"
"total  -  Comedy",17260,"Comedy","total"
"total  -  Crime",12800,"Crime","total"
"total  -  Documentary",784,"Documentary","total"
"total  -  Drama",31390,"Drama","total"
"total  -  Family",224,"Family","total"
"total  -  Fantasy",1819,"Fantasy","total"
"total  -  Horror",696,"Horror","total"
"total  -  Music",499,"Music","total"
"total  -  Mystery",4638,"Mystery","total"
"total  -  Romance",8719,"Romance","total"
"total  -  Sci Fi",1373,"Sci Fi","total"
"total  -  Short",84,"Short","total"
"total  -  Thriller",5931,"Thriller","total"
"total  -  Action  -  Argentina",137,"Argentina","total  -  Action"
"total  -  Adventure  -  Argentina",98,"Argentina","total  -  Adventure"
"total  -  Animation  -  Argentina",53,"Argentina","total  -  Animation"
"total  -  Comedy  -  Argentina",170,"Argentina","total  -  Comedy"
"total  -  Crime  -  Argentina",134,"Argentina","total  -  Crime"
"total  -  Drama  -  Argentina",377,"Argentina","total  -  Drama"
"total  -  Music  -  Argentina",37,"Argentina","total  -  Music"
"total  -  Mystery  -  Argentina",59,"Argentina","total  -  Mystery"
"total  -  Romance  -  Argentina",100,"Argentina","total  -  Romance"
"total  -  Thriller  -  Argentina",77,"Argentina","total  -  Thriller"
"total  -  Action  -  Australia",189,"Australia","total  -  Action"
"total  -  Adventure  -  Australia",130,"Australia","total  -  Adventure"
"total  -  Animation  -  Australia",50,"Australia","total  -  Animation"
"total  -  Comedy  -  Australia",187,"Australia","total  -  Comedy"
"total  -  Crime  -  Australia",144,"Australia","total  -  Crime"
"total  -  Documentary  -  Australia",47,"Australia","total  -  Documentary"
"total  -  Drama  -  Australia",306,"Australia","total  -  Drama"
"total  -  Fantasy  -  Australia",46,"Australia","total  -  Fantasy"
"total  -  Mystery  -  Australia",46,"Australia","total  -  Mystery"
"total  -  Romance  -  Australia",73,"Australia","total  -  Romance"
"total  -  Sci Fi  -  Australia",46,"Australia","total  -  Sci Fi"
"total  -  Thriller  -  Australia",51,"Australia","total  -  Thriller"
"total  -  Action  -  Austria",205,"Austria","total  -  Action"
"total  -  Adventure  -  Austria",127,"Austria","total  -  Adventure"
"total  -  Comedy  -  Austria",189,"Austria","total  -  Comedy"
"total  -  Crime  -  Austria",161,"Austria","total  -  Crime"
"total  -  Drama  -  Austria",330,"Austria","total  -  Drama"
"total  -  Family  -  Austria",36,"Austria","total  -  Family"
"total  -  Fantasy  -  Austria",54,"Austria","total  -  Fantasy"
"total  -  Horror  -  Austria",36,"Austria","total  -  Horror"
"total  -  Mystery  -  Austria",58,"Austria","total  -  Mystery"
"total  -  Romance  -  Austria",81,"Austria","total  -  Romance"
"total  -  Thriller  -  Austria",64,"Austria","total  -  Thriller"
"total  -  Action  -  Bahamas",183,"Bahamas","total  -  Action"
"total  -  Adventure  -  Bahamas",101,"Bahamas","total  -  Adventure"
"total  -  Animation  -  Bahamas",77,"Bahamas","total  -  Animation"
"total  -  Comedy  -  Bahamas",181,"Bahamas","total  -  Comedy"
"total  -  Crime  -  Bahamas",144,"Bahamas","total  -  Crime"
"total  -  Drama  -  Bahamas",312,"Bahamas","total  -  Drama"
"total  -  Family  -  Bahamas",42,"Bahamas","total  -  Family"
"total  -  Mystery  -  Bahamas",41,"Bahamas","total  -  Mystery"
"total  -  Romance  -  Bahamas",74,"Bahamas","total  -  Romance"
"total  -  Thriller  -  Bahamas",89,"Bahamas","total  -  Thriller"
"total  -  Action  -  Bahrain",210,"Bahrain","total  -  Action"
"total  -  Adventure  -  Bahrain",112,"Bahrain","total  -  Adventure"
"total  -  Animation  -  Bahrain",34,"Bahrain","total  -  Animation"
"total  -  Comedy  -  Bahrain",166,"Bahrain","total  -  Comedy"
"total  -  Crime  -  Bahrain",134,"Bahrain","total  -  Crime"
"total  -  Drama  -  Bahrain",346,"Bahrain","total  -  Drama"
"total  -  Fantasy  -  Bahrain",38,"Bahrain","total  -  Fantasy"
"total  -  Horror  -  Bahrain",34,"Bahrain","total  -  Horror"
"total  -  Mystery  -  Bahrain",49,"Bahrain","total  -  Mystery"
"total  -  Romance  -  Bahrain",93,"Bahrain","total  -  Romance"
"total  -  Thriller  -  Bahrain",69,"Bahrain","total  -  Thriller"
"total  -  Action  -  Bangladesh",240,"Bangladesh","total  -  Action"
"total  -  Adventure  -  Bangladesh",88,"Bangladesh","total  -  Adventure"
"total  -  Animation  -  Bangladesh",36,"Bangladesh","total  -  Animation"
"total  -  Comedy  -  Bangladesh",190,"Bangladesh","total  -  Comedy"
"total  -  Crime  -  Bangladesh",172,"Bangladesh","total  -  Crime"
"total  -  Drama  -  Bangladesh",373,"Bangladesh","total  -  Drama"
"total  -  Mystery  -  Bangladesh",93,"Bangladesh","total  -  Mystery"
"total  -  Romance  -  Bangladesh",90,"Bangladesh","total  -  Romance"
"total  -  Sci Fi  -  Bangladesh",40,"Bangladesh","total  -  Sci Fi"
"total  -  Thriller  -  Bangladesh",70,"Bangladesh","total  -  Thriller"
"total  -  Action  -  Belgium",202,"Belgium","total  -  Action"
"total  -  Adventure  -  Belgium",138,"Belgium","total  -  Adventure"
"total  -  Animation  -  Belgium",52,"Belgium","total  -  Animation"
"total  -  Comedy  -  Belgium",185,"Belgium","total  -  Comedy"
"total  -  Crime  -  Belgium",136,"Belgium","total  -  Crime"
"total  -  Drama  -  Belgium",329,"Belgium","total  -  Drama"
"total  -  Fantasy  -  Belgium",50,"Belgium","total  -  Fantasy"
"total  -  Mystery  -  Belgium",48,"Belgium","total  -  Mystery"
"total  -  Romance  -  Belgium",80,"Belgium","total  -  Romance"
"total  -  Thriller  -  Belgium",55,"Belgium","total  -  Thriller"
"total  -  Action  -  Bolivia",162,"Bolivia","total  -  Action"
"total  -  Adventure  -  Bolivia",136,"Bolivia","total  -  Adventure"
"total  -  Animation  -  Bolivia",94,"Bolivia","total  -  Animation"
"total  -  Comedy  -  Bolivia",218,"Bolivia","total  -  Comedy"
"total  -  Crime  -  Bolivia",87,"Bolivia","total  -  Crime"
"total  -  Drama  -  Bolivia",282,"Bolivia","total  -  Drama"
"total  -  Horror  -  Bolivia",30,"Bolivia","total  -  Horror"
"total  -  Mystery  -  Bolivia",44,"Bolivia","total  -  Mystery"
"total  -  Romance  -  Bolivia",107,"Bolivia","total  -  Romance"
