"label","n","parent","id"
"Action",18075,NA,"Action"
"Adult",30,NA,"Adult"
"Adventure",10663,NA,"Adventure"
"Animation",4548,NA,"Animation"
"Biography",744,NA,"Biography"
"Comedy",17260,NA,"Comedy"
"Crime",12800,NA,"Crime"
"Documentary",2607,NA,"Documentary"
"Drama",31390,NA,"Drama"
"Family",1947,NA,"Family"
"Fantasy",3164,NA,"Fantasy"
"Film Noir",1,NA,"Film Noir"
"Game Show",496,NA,"Game Show"
"History",547,NA,"History"
"Horror",2875,NA,"Horror"
"Music",987,NA,"Music"
"Musical",202,NA,"Musical"
"Mystery",4748,NA,"Mystery"
"Reality TV",884,NA,"Reality TV"
"Romance",8719,NA,"Romance"
"Sci Fi",2802,NA,"Sci Fi"
"Short",412,NA,"Short"
"Sport",823,NA,"Sport"
"Talk Show",9,NA,"Talk Show"
"Thriller",5931,NA,"Thriller"
"War",356,NA,"War"
"Western",536,NA,"Western"
"Argentina",137,"Action","Action  -  Argentina"
"Argentina",98,"Adventure","Adventure  -  Argentina"
"Argentina",53,"Animation","Animation  -  Argentina"
"Argentina",8,"Biography","Biography  -  Argentina"
"Argentina",170,"Comedy","Comedy  -  Argentina"
"Argentina",134,"Crime","Crime  -  Argentina"
"Argentina",25,"Documentary","Documentary  -  Argentina"
"Argentina",377,"Drama","Drama  -  Argentina"
"Argentina",14,"Family","Family  -  Argentina"
"Argentina",19,"Fantasy","Fantasy  -  Argentina"
"Argentina",6,"History","History  -  Argentina"
"Argentina",35,"Horror","Horror  -  Argentina"
"Argentina",37,"Music","Music  -  Argentina"
"Argentina",1,"Musical","Musical  -  Argentina"
"Argentina",59,"Mystery","Mystery  -  Argentina"
"Argentina",100,"Romance","Romance  -  Argentina"
"Argentina",11,"Sci Fi","Sci Fi  -  Argentina"
"Argentina",2,"Short","Short  -  Argentina"
"Argentina",10,"Sport","Sport  -  Argentina"
"Argentina",77,"Thriller","Thriller  -  Argentina"
"Argentina",3,"War","War  -  Argentina"
"Argentina",4,"Western","Western  -  Argentina"
"Australia",189,"Action","Action  -  Australia"
"Australia",130,"Adventure","Adventure  -  Australia"
"Australia",50,"Animation","Animation  -  Australia"
"Australia",14,"Biography","Biography  -  Australia"
"Australia",187,"Comedy","Comedy  -  Australia"
"Australia",144,"Crime","Crime  -  Australia"
"Australia",47,"Documentary","Documentary  -  Australia"
"Australia",306,"Drama","Drama  -  Australia"
"Australia",37,"Family","Family  -  Australia"
"Australia",46,"Fantasy","Fantasy  -  Australia"
"Australia",8,"Game Show","Game Show  -  Australia"
"Australia",9,"History","History  -  Australia"
"Australia",26,"Horror","Horror  -  Australia"
"Australia",1,"Music","Music  -  Australia"
"Australia",2,"Musical","Musical  -  Australia"
"Australia",46,"Mystery","Mystery  -  Australia"
"Australia",24,"Reality TV","Reality TV  -  Australia"
"Australia",73,"Romance","Romance  -  Australia"
"Australia",46,"Sci Fi","Sci Fi  -  Australia"
"Australia",6,"Short","Short  -  Australia"
"Australia",15,"Sport","Sport  -  Australia"
"Australia",51,"Thriller","Thriller  -  Australia"
"Australia",9,"War","War  -  Australia"
"Australia",5,"Western","Western  -  Australia"
"Austria",205,"Action","Action  -  Austria"
"Austria",2,"Adult","Adult  -  Austria"
"Austria",127,"Adventure","Adventure  -  Austria"
"Austria",35,"Animation","Animation  -  Austria"
"Austria",13,"Biography","Biography  -  Austria"
"Austria",189,"Comedy","Comedy  -  Austria"
"Austria",161,"Crime","Crime  -  Austria"
"Austria",34,"Documentary","Documentary  -  Austria"
"Austria",330,"Drama","Drama  -  Austria"
"Austria",36,"Family","Family  -  Austria"
"Austria",54,"Fantasy","Fantasy  -  Austria"
"Austria",6,"Game Show","Game Show  -  Austria"
"Austria",6,"History","History  -  Austria"
"Austria",36,"Horror","Horror  -  Austria"
"Austria",1,"Music","Music  -  Austria"
