"parents","n","labels","id"
"Argentina",98,"Adventure","Argentina  -  Adventure"
"Argentina",53,"Animation","Argentina  -  Animation"
"Argentina",8,"Biography","Argentina  -  Biography"
"Argentina",170,"Comedy","Argentina  -  Comedy"
"Argentina",134,"Crime","Argentina  -  Crime"
"Argentina",25,"Documentary","Argentina  -  Documentary"
"Argentina",377,"Drama","Argentina  -  Drama"
"Argentina",14,"Family","Argentina  -  Family"
"Argentina",19,"Fantasy","Argentina  -  Fantasy"
"Argentina",6,"History","Argentina  -  History"
"Argentina",35,"Horror","Argentina  -  Horror"
"Argentina",37,"Music","Argentina  -  Music"
"Argentina",1,"Musical","Argentina  -  Musical"
"Argentina",59,"Mystery","Argentina  -  Mystery"
"Argentina",100,"Romance","Argentina  -  Romance"
"Argentina",11,"Sci Fi","Argentina  -  Sci Fi"
"Argentina",2,"Short","Argentina  -  Short"
"Argentina",10,"Sport","Argentina  -  Sport"
"Argentina",77,"Thriller","Argentina  -  Thriller"
"Argentina",3,"War","Argentina  -  War"
"Argentina",4,"Western","Argentina  -  Western"
"Australia",189,"Action","Australia  -  Action"
"Australia",130,"Adventure","Australia  -  Adventure"
"Australia",50,"Animation","Australia  -  Animation"
"Australia",14,"Biography","Australia  -  Biography"
"Australia",187,"Comedy","Australia  -  Comedy"
"Australia",144,"Crime","Australia  -  Crime"
"Australia",47,"Documentary","Australia  -  Documentary"
"Australia",306,"Drama","Australia  -  Drama"
"Australia",37,"Family","Australia  -  Family"
"Australia",46,"Fantasy","Australia  -  Fantasy"
"Australia",8,"Game Show","Australia  -  Game Show"
"Australia",9,"History","Australia  -  History"
"Australia",26,"Horror","Australia  -  Horror"
"Australia",1,"Music","Australia  -  Music"
"Australia",2,"Musical","Australia  -  Musical"
"Australia",46,"Mystery","Australia  -  Mystery"
"Australia",24,"Reality TV","Australia  -  Reality TV"
"Australia",73,"Romance","Australia  -  Romance"
"Australia",46,"Sci Fi","Australia  -  Sci Fi"
"Australia",6,"Short","Australia  -  Short"
"Australia",15,"Sport","Australia  -  Sport"
"Australia",51,"Thriller","Australia  -  Thriller"
"Australia",9,"War","Australia  -  War"
"Australia",5,"Western","Australia  -  Western"
"Austria",205,"Action","Austria  -  Action"
"Austria",2,"Adult","Austria  -  Adult"
"Austria",127,"Adventure","Austria  -  Adventure"
"Austria",35,"Animation","Austria  -  Animation"
"Austria",13,"Biography","Austria  -  Biography"
"Austria",189,"Comedy","Austria  -  Comedy"
"Austria",161,"Crime","Austria  -  Crime"
"Austria",34,"Documentary","Austria  -  Documentary"
"Austria",330,"Drama","Austria  -  Drama"
"Austria",36,"Family","Austria  -  Family"
"Austria",54,"Fantasy","Austria  -  Fantasy"
"Austria",6,"Game Show","Austria  -  Game Show"
"Austria",6,"History","Austria  -  History"
"Austria",36,"Horror","Austria  -  Horror"
"Austria",1,"Music","Austria  -  Music"
"Austria",1,"Musical","Austria  -  Musical"
"Austria",58,"Mystery","Austria  -  Mystery"
"Austria",10,"Reality TV","Austria  -  Reality TV"
"Austria",81,"Romance","Austria  -  Romance"
"Austria",27,"Sci Fi","Austria  -  Sci Fi"
"Austria",4,"Short","Austria  -  Short"
"Austria",17,"Sport","Austria  -  Sport"
"Austria",64,"Thriller","Austria  -  Thriller"
"Austria",4,"War","Austria  -  War"
"Austria",6,"Western","Austria  -  Western"
"Bahamas",183,"Action","Bahamas  -  Action"
"Bahamas",101,"Adventure","Bahamas  -  Adventure"
"Bahamas",77,"Animation","Bahamas  -  Animation"
"Bahamas",8,"Biography","Bahamas  -  Biography"
"Bahamas",181,"Comedy","Bahamas  -  Comedy"
"Bahamas",144,"Crime","Bahamas  -  Crime"
"Bahamas",17,"Documentary","Bahamas  -  Documentary"
"Bahamas",312,"Drama","Bahamas  -  Drama"
"Bahamas",42,"Family","Bahamas  -  Family"
"Bahamas",33,"Fantasy","Bahamas  -  Fantasy"
"Bahamas",5,"Game Show","Bahamas  -  Game Show"
"Bahamas",4,"History","Bahamas  -  History"
"Bahamas",37,"Horror","Bahamas  -  Horror"
"Bahamas",5,"Music","Bahamas  -  Music"
"Bahamas",1,"Musical","Bahamas  -  Musical"
"Bahamas",41,"Mystery","Bahamas  -  Mystery"
"Bahamas",10,"Reality TV","Bahamas  -  Reality TV"
"Bahamas",74,"Romance","Bahamas  -  Romance"
"Bahamas",21,"Sci Fi","Bahamas  -  Sci Fi"
"Bahamas",2,"Short","Bahamas  -  Short"
"Bahamas",8,"Sport","Bahamas  -  Sport"
"Bahamas",89,"Thriller","Bahamas  -  Thriller"
"Bahamas",2,"War","Bahamas  -  War"
"Bahamas",4,"Western","Bahamas  -  Western"
"Bahrain",210,"Action","Bahrain  -  Action"
"Bahrain",112,"Adventure","Bahrain  -  Adventure"
"Bahrain",34,"Animation","Bahrain  -  Animation"
"Bahrain",14,"Biography","Bahrain  -  Biography"
"Bahrain",166,"Comedy","Bahrain  -  Comedy"
"Bahrain",134,"Crime","Bahrain  -  Crime"
"Bahrain",24,"Documentary","Bahrain  -  Documentary"
"Bahrain",346,"Drama","Bahrain  -  Drama"
"Bahrain",17,"Family","Bahrain  -  Family"
"Bahrain",38,"Fantasy","Bahrain  -  Fantasy"
"Bahrain",11,"Game Show","Bahrain  -  Game Show"
"Bahrain",7,"History","Bahrain  -  History"
"Bahrain",34,"Horror","Bahrain  -  Horror"
"Bahrain",1,"Music","Bahrain  -  Music"
"Bahrain",1,"Musical","Bahrain  -  Musical"
"Bahrain",49,"Mystery","Bahrain  -  Mystery"
"Bahrain",14,"Reality TV","Bahrain  -  Reality TV"
"Bahrain",93,"Romance","Bahrain  -  Romance"
"Bahrain",21,"Sci Fi","Bahrain  -  Sci Fi"
"Bahrain",4,"Short","Bahrain  -  Short"
"Bahrain",8,"Sport","Bahrain  -  Sport"
"Bahrain",69,"Thriller","Bahrain  -  Thriller"
"Bahrain",5,"War","Bahrain  -  War"
"Bahrain",7,"Western","Bahrain  -  Western"
"Bangladesh",240,"Action","Bangladesh  -  Action"
"Bangladesh",88,"Adventure","Bangladesh  -  Adventure"
"Bangladesh",36,"Animation","Bangladesh  -  Animation"
"Bangladesh",3,"Biography","Bangladesh  -  Biography"
"Bangladesh",190,"Comedy","Bangladesh  -  Comedy"
"Bangladesh",172,"Crime","Bangladesh  -  Crime"
"Bangladesh",18,"Documentary","Bangladesh  -  Documentary"
"Bangladesh",373,"Drama","Bangladesh  -  Drama"
"Bangladesh",11,"Family","Bangladesh  -  Family"
"Bangladesh",26,"Fantasy","Bangladesh  -  Fantasy"
"Bangladesh",4,"Game Show","Bangladesh  -  Game Show"
"Bangladesh",3,"History","Bangladesh  -  History"
"Bangladesh",31,"Horror","Bangladesh  -  Horror"
"Bangladesh",2,"Music","Bangladesh  -  Music"
"Bangladesh",5,"Musical","Bangladesh  -  Musical"
"Bangladesh",93,"Mystery","Bangladesh  -  Mystery"
"Bangladesh",2,"Reality TV","Bangladesh  -  Reality TV"
"Bangladesh",90,"Romance","Bangladesh  -  Romance"
"Bangladesh",40,"Sci Fi","Bangladesh  -  Sci Fi"
"Bangladesh",7,"Short","Bangladesh  -  Short"
"Bangladesh",1,"Sport","Bangladesh  -  Sport"
"Bangladesh",70,"Thriller","Bangladesh  -  Thriller"
"Bangladesh",2,"War","Bangladesh  -  War"
